NN,VE1sign_B(v),GATS5m,Mor04v,C-005,H-052,pIC50,Pred,Pred_loo,stdVE1sign_B(v),stdGATS5m,stdMor04v,stdC-005,stdH-052,Outlier_info(standardization_approach),snew
MD010,0.16,0.921,2.54,0,0,4.522878745,4.612812032272506,4.707970013866865,1.0848061524959223,1.3017347757719528,3.434876403981113,0.35497614506101194,0.7490906712725827,In,2.9216797170475988
MD021,0.23,0.951,0.589,0,2,4.0,3.7545968061667434,3.696177560129089,1.9116952957771296,1.1096958579729266,0.8613062434908599,0.35497614506101194,0.7022725475720408,In,NA
MD039,0.212,1.1,-0.266,0,0,3.721246399,3.298437514986457,3.1932592023311326,1.6990666589333905,0.15590256623775953,0.26652691243900495,0.35497614506101194,0.7490906712725827,In,NA
MD049,0.00566,0.983,0.42,0,1,3.48148606,3.220074902600457,3.186916387244725,0.7383662814186713,0.9048543456539646,0.6383778185175883,0.35497614506101194,0.023409061850270935,In,NA
MD051,0.00354,1.1,-0.293,0,0,3.4317982760000003,2.813162507190232,2.762383068135323,0.7634092097580449,0.15590256623775953,0.30214269631047436,0.35497614506101194,0.7490906712725827,In,NA
MD058,0.139,0.975,-0.0602,0,3,3.2365720060000003,3.1452294629867743,3.1281726829813232,0.8367394095115601,0.9560647237337051,0.004944506847973068,0.35497614506101194,1.4279541569943526,In,NA
MD059,0.0662,0.976,-0.154,0,0,3.193820026,3.2578596385757637,3.2637359417581635,0.023225299500895708,0.9496634264737376,0.1187873645277244,0.35497614506101194,0.7490906712725827,In,NA
MD060,0.117,1.08,1.02,0,0,3.187086643,3.6142292082769005,3.6863539990061094,0.5768599644803235,0.2839285114371108,1.42983968232802,0.35497614506101194,0.7490906712725827,In,NA
MD061,0.0169,1.01,0.706,0,2,3.173925197,3.1955002630630394,3.1990420989952177,0.6055915104118031,0.7320193196348403,1.015641306933894,0.35497614506101194,0.7022725475720408,In,NA
MD068,0.0,1.29,-0.0149,0,0,2.974694135,2.530376014372848,2.465542579794947,0.8052261750039803,1.0603439131560763,0.06469987756566065,0.35497614506101194,0.7490906712725827,In,NA
MD070,0.237,1.14,-0.0506,0,2,2.954677021,3.1466535893905156,3.191323743016822,1.9943842101052502,0.10014932416094165,0.01760789666893997,0.35497614506101194,0.7022725475720408,In,NA
MD074,0.0216,1.17,-0.177,0,0,2.872895202,2.7582784398926212,2.74916620955555,0.5500718107914935,0.29218824195996856,0.14912673597379092,0.35497614506101194,0.7490906712725827,In,NA
MD075,0.153,1.14,0.0467,0,1,2.869666232,3.097971395983788,3.116784792962057,1.0021172381678014,0.10014932416094165,0.14595662891686492,0.35497614506101194,0.023409061850270935,In,NA
MD078,0.0,1.11,-0.15,0,0,2.8239087410000003,2.839758927775126,2.8411118055708324,0.8052261750039803,0.09188959363808387,0.11351095210232151,0.35497614506101194,0.7490906712725827,In,NA
MD080,0.0,1.02,-0.833,0,0,2.787812396,2.7589360084693975,2.75534751561858,0.8052261750039803,0.6680063470351647,1.0144583737398627,0.35497614506101194,0.7490906712725827,In,NA
MD082,0.0,0.996,-1.32,0,0,2.772113295,2.6207198409793504,2.5899284082104783,0.8052261750039803,0.8216374812743863,1.656861586532663,0.35497614506101194,0.7490906712725827,In,NA
MD084,0.107,1.29,0.0897,0,3,2.769551079,2.4977919213416753,2.456891496545127,0.4587329440115795,1.0603439131560763,0.20267806248994588,0.35497614506101194,1.4279541569943526,In,NA
MD091,0.0204,1.08,-0.36,0,0,2.705533774,2.86605661284034,2.87828173177967,0.5642470532477427,0.2839285114371108,0.39052260443597253,0.35497614506101194,0.7490906712725827,In,NA
MD098,0.189,0.871,-0.232,1,0,2.600326279,2.766509402804403,2.8437874627148823,1.4273745118552796,1.621799638770331,0.22167740682308051,1.845876019907768,0.7490906712725827,In,NA
MD100,0.0212,1.28,0.0739,0,2,2.567030709,2.4217888068044156,2.406964903017592,0.5547968916102433,0.9963309405564007,0.1818362334096045,0.35497614506101194,0.7022725475720408,In,NA
MD101,0.0114,1.02,-0.209,0,3,2.565431096,2.7073014430024234,2.7349438591680033,0.6705613716696123,0.6680063470351647,0.19133803537701394,0.35497614506101194,1.4279541569943526,In,NA
MD108,0.0,1.2,0.389,0,4,2.442492798,2.4436188629746063,2.443997493053169,0.8052261750039803,0.4842271597589955,0.5974856222207161,0.35497614506101194,2.1536357664166643,In,NA
MD109,0.255,1.43,-0.256,0,3,2.431798276,2.421855973765945,2.414803419529279,2.2070128469489894,1.956525529551534,0.2533358813754978,0.35497614506101194,1.4279541569943526,In,NA
MD114,0.0102,1.02,-0.263,0,4,2.327902142,2.578438624436788,2.67253239214723,0.6847366141258615,0.6680063470351647,0.2625696031199528,0.35497614506101194,2.1536357664166643,In,NA
MD116,0.0394,1.25,-0.274,0,0,2.2915791000000003,2.6012331588138666,2.633532430164157,0.33980571435712936,0.8042920227573738,0.2770797372898107,0.35497614506101194,0.7490906712725827,In,NA
MD121,0.0194,1.14,-0.248,1,0,2.056011125,1.834363611311578,1.7931780070536796,0.5760597552946172,0.10014932416094165,0.242783056524692,1.845876019907768,0.7490906712725827,In,NA
MD123,0.00448,1.27,-0.109,0,0,1.996970529,2.5446938990799723,2.614212512156454,0.752305269833983,0.9323179679567251,0.05942772474194203,0.35497614506101194,0.7490906712725827,In,NA
MD124,0.00817,1.44,-0.0398,0,2,1.990549104,2.0276309513151345,2.0364699292380806,0.7087163992810166,2.0205385021512097,0.03185421021752773,0.35497614506101194,0.7022725475720408,In,NA
MD125,0.0,0.982,-2.34,0,0,1.988006885,2.2584803635659556,2.4247062515759676,0.8052261750039803,0.9112556429139321,3.002346755010396,0.35497614506101194,0.7490906712725827,In,2.5068690118715837
MD139,0.0463,1.14,-0.0782,2,0,1.056653902,1.0087152069236476,0.9400813959786802,0.258298070233696,0.10014932416094165,0.01879934906633989,4.046728184876548,0.7490906712725827,Outlier,3.220203795601539
MD140,0.0193,1.48,-0.129,1,0,1.04628862,1.1976304000367217,1.2672399392717404,0.5772410254993046,2.2765903925499122,0.08580978686895642,1.845876019907768,0.7490906712725827,In,NA
